Altium Designer Pick and Place Locations
C:\Users\delta\AppData\Local\TempReleases\Snapshot\4\Assembly\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       15/12/25
Time:       10:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J2","Molex 105450-0101","TopLayer","PCB-zuuv2u5tezfwori2z0s2-1","255.905","1780.906","180","Conn USB 3.1 Type C RCP 24 POS 0.5mm Solder RA SMD 24 Terminal 1 Port T/R"
"U6","IRM-3638","TopLayer","Everlight_IRM-3638-Footprint-1","98.425","984.252","270","Ir Receiver Module 38KHZ, Sidev. Rohsconf"
"U4","Diodes Inc. AP1501-50K5G-13","BottomLayer","Diodes_Inc._AP1501-50K5G-13-Footprint-1","1594.488","1092.520","180","Voltage Regulators - Switching Regulators BUCK CONV PWM 150KHz 3A 4.5-40V 1.23V"
"U3","Diodes Inc. AP1501-50K5G-13","BottomLayer","Diodes_Inc._AP1501-50K5G-13-Footprint-1","984.252","1092.520","180","Voltage Regulators - Switching Regulators BUCK CONV PWM 150KHz 3A 4.5-40V 1.23V"
"U2","Diodes Inc. AP1501-50K5G-13","BottomLayer","Diodes_Inc._AP1501-50K5G-13-Footprint-1","374.016","1092.520","180","Voltage Regulators - Switching Regulators BUCK CONV PWM 150KHz 3A 4.5-40V 1.23V"
"U5","TLV70233DBVR","TopLayer","TI-DBV5_M","275.591","1338.583","0","Single Output LDO, 300 mA, Fixed 3.3 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SOT-23 (DBV), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U1","STM32F072RBT6","TopLayer","PCB-66gtx97e954hxlo6z7sy-1","423.228","423.228","180","entry-level ARM Cortex-M0 MCU with 128 Kbytes Flash, 48 MHz CPU, USB, CAN and CEC functions"
"T2","XY115A-5.0-2P","TopLayer","Ningbo_Xinlaiya_Elec_XY115A-5.0-2P-Footprint-1","688.976","1673.228","0","Screw terminal"
"T1","XY115A-5.0-2P","TopLayer","Ningbo_Xinlaiya_Elec_XY115A-5.0-2P-Footprint-1","1102.362","1673.228","0","Screw terminal"
"SW2","SSSS810701","TopLayer","SSSS810701","1889.764","423.228","90","Switch Slide SP Side Slide 0.3A 5VDC 10000Cycles Gull Wing SMD T/R"
"SW1","TS-1092S-B3D2-G","TopLayer","XKB_Connectivity_TS-1101-C-W-Footprint-2","1171.260","127.953","180",""
"R1","RC0603FR-0747KL","TopLayer","RESC1608X55X30ML15T15","1240.158","246.063","180","Res Thick Film 0603 47K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R2","RC0603FR-0747KL","TopLayer","RESC1608X55X30ML15T15","1889.764","236.220","180","Res Thick Film 0603 47K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R4","RC0805JR-075K1L","BottomLayer","RESC2013X60X35NL10T20","177.165","1870.079","270","RES SMD 5.1K OHM 5% 1/8W 0805"
"R3","RC0805JR-075K1L","BottomLayer","RESC2013X60X35NL10T20","334.646","1870.079","90","RES SMD 5.1K OHM 5% 1/8W 0805"
"Q2","ASFL1-12.000MHZ-EK-T","TopLayer","PCB-kqxdmwb8ser6p31oe6p9-1","842.520","373.228","90","Oscillator XO 12MHz 30ppm 15pF (Stability) HCMOS/TTL 60% 3.3V 4-Pin SMD T/R"
"Q1","ASEK-32.768KHZ-LRT","TopLayer","PCB-c01gkmt8w854hec4nwcb-1","846.457","177.165","90","ASEK Series 32.768 kHz 3.2 x 2.5 mm 3.3 V ±25 ppm SMT Crystal Clock Oscillator"
"L1","CYH127-33UH","BottomLayer","SHOU_HAN_CYH127-33UH-Footprint-1","374.016","364.173","90","3A 33UH ±20% 64.8MO SMD-2P, 12.3X12.3MM Inductors (SMD) Rohs"
"L2","CYH127-33UH","BottomLayer","SHOU_HAN_CYH127-33UH-Footprint-1","984.252","364.173","90","3A 33UH ±20% 64.8MO SMD-2P, 12.3X12.3MM Inductors (SMD) Rohs"
"L3","CYH127-33UH","BottomLayer","SHOU_HAN_CYH127-33UH-Footprint-1","1594.488","364.173","90","3A 33UH ±20% 64.8MO SMD-2P, 12.3X12.3MM Inductors (SMD) Rohs"
"J1","Tensility 54-00167","TopLayer","PCB-ow8brsur2jjlt33phc66-1","1490.158","1747.047","270","Conn Jack R/a Pcb 5.5X2.5MM"
"F1","0451010.MRL","TopLayer","Littelfuse_0451010.MRL-Footprint-1","1860.236","1525.591","90","Fuse Chip Very Fast Acting 10A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL"
"F2","0451010.MRL","TopLayer","Littelfuse_0451010.MRL-Footprint-1","1673.228","246.063","90","Fuse Chip Very Fast Acting 10A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL"
"F3","T0603FF1000TM","TopLayer","CAPC1608X90X35NL15T15","226.378","1505.906","270","FastBlow 13A SMD Fuse 1A 0.042 69m´Î 0603 Fuses ROHS"
"D1","B340A-13-F","BottomLayer","SMA-DIODE","531.319","718.504","180","DIODE SCHOTTKY 40V 3A SMA"
"D2","B340A-13-F","BottomLayer","SMA-DIODE","1141.555","718.504","180","DIODE SCHOTTKY 40V 3A SMA"
"D3","B340A-13-F","BottomLayer","SMA-DIODE","1751.791","718.504","180","DIODE SCHOTTKY 40V 3A SMA"
"C2","100 nf","TopLayer","CAPC1608X87X35LL15T15","1092.520","246.063","180","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C18","100uF","BottomLayer","PCB-md3hi123lm86i2524os4-1","1879.921","895.669","270","Cap Ceramic 100uF 6.3V X5R 20% SMD 1206 85°C Embossed T/R"
"C13","47uF","BottomLayer","CAPC2013X94X50ML20T25","285.433","718.504","180","Multilayer Ceramic Capacitor, 47 uF, 6.3 V, ± 20%, X5R, 0805 [2012 Metric]"
"C12","100uF","BottomLayer","PCB-md3hi123lm86i2524os4-1","679.134","895.669","0","Cap Ceramic 100uF 6.3V X5R 20% SMD 1206 85°C Embossed T/R"
"C15","47uF","BottomLayer","CAPC2013X94X50ML20T25","895.669","718.504","180","Multilayer Ceramic Capacitor, 47 uF, 6.3 V, ± 20%, X5R, 0805 [2012 Metric]"
"C14","100uF","BottomLayer","PCB-md3hi123lm86i2524os4-1","1289.370","895.669","0","Cap Ceramic 100uF 6.3V X5R 20% SMD 1206 85°C Embossed T/R"
"C19","47uF","BottomLayer","CAPC2013X94X50ML20T25","1515.748","718.504","180","Multilayer Ceramic Capacitor, 47 uF, 6.3 V, ± 20%, X5R, 0805 [2012 Metric]"
"C17","1 uf","TopLayer","CAPC1608X90X35LL15T15","407.483","1352.363","90","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C16","1 uf","TopLayer","CAPC1608X90X35LL15T15","137.795","1328.740","270","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C11","CL10B103KB8NNNC","TopLayer","CAPC1608X90X35LL15T15","964.567","374.016","270","CAP, 0.01UF, 50V, MLCC, 0603; Pojemnosc: 0.01µF; Substancje SVHC: No SVHC (15-Jan-2019)"
"C6","CL10B103KB8NNNC","TopLayer","CAPC1608X90X35LL15T15","944.882","177.165","90","CAP, 0.01UF, 50V, MLCC, 0603; Pojemnosc: 0.01µF; Substancje SVHC: No SVHC (15-Jan-2019)"
"C9","1 uf","TopLayer","CAPC1608X90X35LL15T15","846.457","561.024","270","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C10","10 nf","TopLayer","CAPC1608X90X35LL15T15","797.244","561.024","270","CAP, 0.01UF, 50V, MLCC, 0603; Pojemnosc: 0.01µF; Substancje SVHC: No SVHC (15-Jan-2019)"
"C8","4.7 uf","TopLayer","PCB-0wz5cygkzjk26dn1bz6x-1","118.110","246.063","90","CAP, 4.7UF, 16V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019) RoHS Compliant: Yes"
"C7","100 nf","TopLayer","CAPC1608X87X35LL15T15","324.803","748.032","0","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C5","100 nf","TopLayer","CAPC1608X87X35LL15T15","620.079","108.268","180","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C4","100 nf","TopLayer","CAPC1608X87X35LL15T15","59.055","246.063","90","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C3","4.7 uf","TopLayer","PCB-0wz5cygkzjk26dn1bz6x-1","541.339","797.244","0","CAP, 4.7UF, 16V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019) RoHS Compliant: Yes"
"C1","100 nf","TopLayer","CAPC1608X87X35LL15T15","541.339","738.189","0","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
